#title = mean sea level anomaly Pacific Ocean (Annual signals retained) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.77 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-15.06000,,,
1992.9864,-27.36000,,,
1993.0122,-24.46000,,,
1993.0405,-33.36000,,,
1993.0659,-34.06000,,,
1993.0974,-35.86000,,,
1993.1205,-29.96000,,,
1993.1491,-23.46000,,,
1993.1765,-16.66000,,,
1993.2036,-19.86000,,,
1993.2307,-15.26000,,,
1993.2850,-21.06000,,,
1993.3122,-13.06000,,,
1993.3394,-19.86000,,,
1993.3665,-18.26000,,,
1993.3936,-22.36000,,,
1993.4207,-22.26000,,,
1993.4480,-20.16000,,,
1993.4751,-6.16000,,,
1993.5021,-9.06000,,,
1993.5294,-10.06000,,,
1993.5836,-13.26000,,,
1993.6116,-4.06000,,,
1993.6380,-4.46000,,,
1993.6651,-2.96000,,,
1993.6922,-5.96000,,,
1993.7188,-13.36000,,,
1993.7465,-11.06000,,,
1993.7738,-7.86000,,,
1993.8009,-7.46000,,,
1993.8552,-15.56000,,,
1993.8824,-17.66000,,,
1993.9096,-9.96000,,,
1993.9366,-9.86000,,,
1993.9637,-3.66000,,,
1993.9905,-6.86000,,,
1994.0180,-16.06000,,,
1994.0452,-15.86000,,,
1994.0723,-15.86000,,,
1994.0995,-20.06000,,,
1994.1266,-20.36000,,,
1994.1538,-16.96000,,,
1994.1809,-10.46000,,,
1994.2352,-15.96000,,,
1994.2624,-11.66000,,,
1994.2895,-8.86000,,,
1994.3166,-3.76000,,,
1994.3438,-17.86000,,,
1994.3710,-23.76000,,,
1994.3981,-29.26000,,,
1994.4252,-18.66000,,,
1994.4524,-7.96000,,,
1994.5067,-16.86000,,,
1994.5338,-1.36000,,,
1994.5610,-2.36000,,,
1994.5881,-12.26000,,,
1994.6153,-5.26000,,,
1994.6425,5.04000,,,
1994.6696,-3.46000,,,
1994.6966,-5.56000,,,
1994.7239,-5.36000,,,
1994.7510,-11.66000,,,
1994.7781,-6.96000,,,
1994.8053,2.24000,,,
1994.8325,-0.16000,,,
1994.8868,-18.16000,,,
1994.9139,-18.26000,,,
1994.9411,-1.76000,,,
1994.9683,1.04000,,,
1994.9954,-8.36000,,,
1995.0225,-20.76000,,,
1995.0496,-15.26000,,,
1995.0768,0.64000,,,
1995.1040,-2.46000,,,
1995.1311,-9.46000,,,
1995.1583,-19.76000,,,
1995.2126,-2.76000,,,
1995.2397,-15.36000,,,
1995.2668,-14.16000,,,
1995.2940,-12.36000,,,
1995.3212,-15.46000,,,
1995.3755,-25.26000,,,
1995.4027,-16.36000,,,
1995.4297,-14.46000,,,
1995.4569,-13.16000,,,
1995.4840,-12.16000,,,
1995.5383,-17.36000,,,
