Date, Latitude, Longitude, RCP 2.6 Range (low), RCP 2.6 Median, RCP 2.6 Range (high), RCP 4.5 Range (low), RCP 4.5 Median, RCP 4.5 Range (high), RCP 8.5 Range (low), RCP 8.5 Median, RCP 8.5 Range (high)
1950-01-01,49.25578013789864,-123.11554014354103,9.58,10.55,11.13,9.58,10.55,11.13,9.58,10.55,11.05
1951-01-01,49.25578013789864,-123.11554014354103,9.75,10.36,11.20,9.75,10.36,11.20,9.75,10.32,11.20
1952-01-01,49.25578013789864,-123.11554014354103,9.40,10.18,10.69,9.40,10.18,10.69,9.40,10.18,10.69
1953-01-01,49.25578013789864,-123.11554014354103,9.60,10.18,10.84,9.60,10.18,10.84,9.60,10.18,10.84
1954-01-01,49.25578013789864,-123.11554014354103,9.66,10.16,11.01,9.66,10.16,11.01,9.66,10.16,11.01
1955-01-01,49.25578013789864,-123.11554014354103,9.32,10.18,10.81,9.32,10.18,10.81,9.32,10.18,10.80
1956-01-01,49.25578013789864,-123.11554014354103,9.64,10.32,10.87,9.64,10.32,10.87,9.64,10.32,10.87
1957-01-01,49.25578013789864,-123.11554014354103,9.50,10.05,11.02,9.50,10.05,11.02,9.50,9.99,11.02
1958-01-01,49.25578013789864,-123.11554014354103,9.46,10.04,10.77,9.46,10.04,10.77,9.43,10.03,10.77
1959-01-01,49.25578013789864,-123.11554014354103,9.47,10.19,10.99,9.47,10.19,10.99,9.47,10.12,10.99
1960-01-01,49.25578013789864,-123.11554014354103,9.49,10.04,10.81,9.49,10.04,10.81,9.49,10.04,10.81
1961-01-01,49.25578013789864,-123.11554014354103,9.34,10.34,11.01,9.34,10.34,11.01,9.34,10.34,11.01
1962-01-01,49.25578013789864,-123.11554014354103,9.60,10.19,10.85,9.60,10.19,10.85,9.60,10.19,10.85
1963-01-01,49.25578013789864,-123.11554014354103,9.63,10.16,10.95,9.63,10.16,10.95,9.63,10.16,10.95
1964-01-01,49.25578013789864,-123.11554014354103,9.03,10.03,10.56,9.03,10.03,10.56,9.03,10.03,10.56
1965-01-01,49.25578013789864,-123.11554014354103,9.51,10.09,10.63,9.51,10.09,10.63,9.45,10.09,10.63
1966-01-01,49.25578013789864,-123.11554014354103,9.37,9.81,10.73,9.37,9.81,10.73,9.37,9.81,10.73
1967-01-01,49.25578013789864,-123.11554014354103,9.18,10.08,10.76,9.18,10.08,10.76,9.18,10.08,10.67
1968-01-01,49.25578013789864,-123.11554014354103,9.32,9.95,10.49,9.32,9.95,10.49,9.32,9.94,10.42
1969-01-01,49.25578013789864,-123.11554014354103,9.47,10.17,11.02,9.47,10.17,11.02,9.47,10.17,11.02
1970-01-01,49.25578013789864,-123.11554014354103,9.29,10.19,10.98,9.29,10.19,10.98,9.29,10.13,10.98
1971-01-01,49.25578013789864,-123.11554014354103,9.68,10.19,10.96,9.68,10.19,10.96,9.68,10.19,10.96
1972-01-01,49.25578013789864,-123.11554014354103,9.44,10.14,10.58,9.44,10.14,10.58,9.44,10.14,10.58
1973-01-01,49.25578013789864,-123.11554014354103,9.53,10.06,10.96,9.53,10.06,10.96,9.53,10.06,10.96
1974-01-01,49.25578013789864,-123.11554014354103,9.46,10.29,11.06,9.46,10.29,11.06,9.46,10.29,10.96
1975-01-01,49.25578013789864,-123.11554014354103,9.49,10.34,10.91,9.49,10.34,10.91,9.49,10.34,10.91
1976-01-01,49.25578013789864,-123.11554014354103,9.57,10.43,11.02,9.57,10.43,11.02,9.57,10.43,11.02
1977-01-01,49.25578013789864,-123.11554014354103,9.80,10.26,10.86,9.80,10.26,10.86,9.80,10.26,10.86
1978-01-01,49.25578013789864,-123.11554014354103,9.72,10.38,11.00,9.72,10.38,11.00,9.72,10.38,11.00
1979-01-01,49.25578013789864,-123.11554014354103,9.54,10.40,11.14,9.54,10.40,11.14,9.54,10.40,11.14
1980-01-01,49.25578013789864,-123.11554014354103,9.45,10.42,10.98,9.42,10.45,10.97,9.45,10.45,10.97
1981-01-01,49.25578013789864,-123.11554014354103,9.59,10.36,10.96,9.58,10.34,10.98,9.44,10.35,10.98
1982-01-01,49.25578013789864,-123.11554014354103,9.71,10.22,10.80,9.72,10.18,10.80,9.71,10.21,10.80
1983-01-01,49.25578013789864,-123.11554014354103,9.60,10.39,10.98,9.59,10.39,10.99,9.56,10.41,10.98
1984-01-01,49.25578013789864,-123.11554014354103,9.93,10.51,11.52,9.92,10.51,11.51,9.92,10.50,11.53
1985-01-01,49.25578013789864,-123.11554014354103,9.68,10.45,10.86,9.67,10.44,10.82,9.66,10.49,10.85
1986-01-01,49.25578013789864,-123.11554014354103,10.06,10.72,11.25,10.05,10.72,11.24,10.07,10.72,11.22
1987-01-01,49.25578013789864,-123.11554014354103,9.91,10.59,11.07,9.91,10.59,11.08,9.91,10.60,11.07
